city_id,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Atuona,PF,79.12,clear sky,-9.8,-139.0333,Pearl Resort
4,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
6,Sao Joao Da Barra,BR,74.91,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
7,Rawson,AR,71.87,few clouds,-43.3002,-65.1023,Hotel Deportivo
8,Port Lincoln,AU,71.96,clear sky,-34.7333,135.8667,Boston Hotel
10,Takoradi,GH,77.86,few clouds,4.8845,-1.7554,Hillcrest
11,Alappuzha,IN,81.61,broken clouds,9.49,76.3264,Unnis Hotel
13,Bourail,NC,80.04,light rain,-21.5667,165.4833,Hôtel Restaurant La Néra
15,Kingston,JM,76.15,few clouds,17.997,-76.7936,Aphrodite Hotel
21,Cape Town,ZA,72.91,clear sky,-33.9258,18.4232,Townhouse Hotel
22,Rikitea,PF,79.95,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
28,Saint-Georges,GD,74.88,few clouds,12.0564,-61.7485,Deyna's City Inn
34,Lashio,MM,79.47,clear sky,22.9333,97.75,Golden Kaniri Hotel
38,Hobart,AU,70.27,few clouds,-42.8794,147.3294,Vibe Hotel Hobart
43,Champerico,GT,76.71,clear sky,14.3,-91.9167,Hotel y Restaurante El Submarino
45,Hilo,US,73.13,light rain,19.7297,-155.09,Dolphin Bay Hotel
50,Kapaa,US,75.18,light rain,22.0752,-159.319,Pono Kai Resort
52,San Juan,AR,84.4,clear sky,-31.5375,-68.5364,Hotel San Francisco
53,Kota Belud,MY,84.42,overcast clouds,6.351,116.4305,U Hotel
61,Hithadhoo,MV,81.37,overcast clouds,-0.6,73.0833,Pebbles Inn
63,Souillac,MU,84.58,broken clouds,-20.5167,57.5167,Hotel SkylineInn
65,Victoria,HK,77.97,broken clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
67,Nibong Tebal,MY,89.58,scattered clouds,5.1659,100.4779,Golden Ace Hotel
69,Cidreira,BR,72.27,broken clouds,-30.1811,-50.2056,Hotel Castelo
72,Bengkulu,ID,85.28,broken clouds,-3.8004,102.2655,Dena Hotel
76,Salalah,OM,77.09,few clouds,17.0151,54.0924,Muscat International Hotel
78,Tual,ID,82.44,light rain,-5.6667,132.75,Suita
80,San Rafael,AR,82.38,clear sky,-34.6177,-68.3301,Hotel Regional
81,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
82,Omboue,GA,77.9,broken clouds,-1.5746,9.2618,Georges Faustin Aurat
83,Geraldton,AU,81.01,scattered clouds,-28.7667,114.6,Ocean Centre Hotel
84,Saint-Philippe,RE,85.59,overcast clouds,-21.3585,55.7679,Le Baril
89,Bredasdorp,ZA,71.58,broken clouds,-34.5322,20.0403,Victoria Hotel
90,Puerto Ayora,EC,77.56,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
92,Kavieng,PG,82.02,moderate rain,-2.5744,150.7967,Kavieng Hotel
95,Moerai,PF,79.48,broken clouds,-22.4333,-151.3333,Manotel Rurutu
100,Clarence Town,AU,85.6,few clouds,-32.5833,151.7833,Erringhi Hotel
103,Mersing,MY,84.11,scattered clouds,2.4312,103.8405,Mersing Inn Hotel
109,Vaini,TO,82.56,light rain,-21.2,-175.2,Keleti International Resort
122,Yazman,PK,73.17,clear sky,29.1212,71.7446,Yazman Banquet Marriage Hall
127,Axim,GH,77.49,scattered clouds,4.8699,-2.2405,Axim Beach Hotel
128,Hermanus,ZA,71.8,broken clouds,-34.4187,19.2345,Aloe guest house
137,Neiafu,TO,83.08,light rain,-18.65,-173.9833,Port Wine Guest House
138,Mogadishu,SO,76.87,few clouds,2.0371,45.3438,SYL Hotel
139,Georgetown,MY,87.75,few clouds,5.4112,100.3354,Page 63 hostel
149,Vao,NC,78.22,light rain,-22.6667,167.4833,Nataiwatch
156,Presidencia Roque Saenz Pena,AR,71.65,few clouds,-26.7852,-60.4388,Hotel Presidente
161,Maragogi,BR,77.34,broken clouds,-9.0122,-35.2225,Pousada Mariluz
