City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qostanay,KZ,53.1667,63.5833,17.89,79,40,15.66,scattered clouds
1,Saldanha,ZA,-33.0117,17.9442,68.05,68,0,5.17,clear sky
2,Xuanzhou,CN,30.9525,118.7553,50.32,72,100,6.85,overcast clouds
3,Atuona,PF,-9.8,-139.0333,79.12,79,6,19.91,clear sky
4,Avarua,CK,-21.2078,-159.775,80.65,83,75,2.3,broken clouds
5,Provideniya,RU,64.3833,-173.3,-17.1,98,92,7.7,overcast clouds
6,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.91,90,95,12.21,overcast clouds
7,Rawson,AR,-43.3002,-65.1023,71.87,51,17,11.63,few clouds
8,Port Lincoln,AU,-34.7333,135.8667,71.96,63,3,19.91,clear sky
9,East London,ZA,-33.0153,27.9116,68.94,100,100,6.91,light rain
10,Takoradi,GH,4.8845,-1.7554,77.86,90,16,5.79,few clouds
11,Alappuzha,IN,9.49,76.3264,81.61,70,54,3.89,broken clouds
12,Ushuaia,AR,-54.8,-68.3,46.06,87,75,8.05,broken clouds
13,Bourail,NC,-21.5667,165.4833,80.04,81,100,10.25,light rain
14,Bluff,NZ,-46.6,168.3333,61.81,59,62,11.16,broken clouds
15,Kingston,JM,17.997,-76.7936,76.15,73,20,6.91,few clouds
16,Barrow,US,71.2906,-156.7887,-16.58,76,100,0.0,overcast clouds
17,San Lawrenz,MT,36.0553,14.204,47.61,87,90,45.1,overcast clouds
18,Ponot,PH,8.452,123.0222,82.56,75,77,15.21,broken clouds
19,Emmett,US,43.8735,-116.4993,35.76,53,11,1.99,few clouds
20,Ahipara,NZ,-35.1667,173.1667,67.35,64,100,5.08,overcast clouds
21,Cape Town,ZA,-33.9258,18.4232,72.91,75,0,11.5,clear sky
22,Rikitea,PF,-23.1203,-134.9692,79.95,71,1,17.81,clear sky
23,Albany,US,42.6001,-73.9662,51.22,88,95,1.01,overcast clouds
24,Betlitsa,RU,54.0095,33.9588,18.9,89,64,10.78,broken clouds
25,Bemidji,US,47.4736,-94.8803,7.92,72,0,6.91,clear sky
26,Naifaru,MV,5.4444,73.3657,80.46,70,73,9.69,broken clouds
27,Goderich,CA,43.7501,-81.7165,36.91,100,100,11.5,light snow
28,Saint-Georges,GD,12.0564,-61.7485,74.88,83,20,8.05,few clouds
29,Novopavlovsk,RU,43.9622,43.6342,8.01,94,94,5.06,overcast clouds
30,Port Elizabeth,ZA,-33.918,25.5701,68.29,88,0,2.3,clear sky
31,Virginia Beach,US,36.8529,-75.978,66.99,77,100,18.41,overcast clouds
32,Charters Towers,AU,-20.1,146.2667,89.64,33,1,11.27,clear sky
